Plot,Subplot,Species,Tag_number,FullExpTrt,PlantGMTrt,ExpSoilSource,ExpFungSource,pots,color_original,color_updated,barcodes
5,23,Tri,4431,PlantNW-SoilW-FungNW,NW,W,NW,1,green,green,4431_Tri_green
4,7,Tri,4452,PlantW-SoilNW-FungW,W,NW,W,1,pink,pink,4452_Tri_pink
6,11,Tri,4505,PlantNW-SoilNW-FungNW,NW,NW,NW,1,white,blue,4505_Tri_blue
6,16,Tri,4511,PlantNW-SoilNW-FungNW,NW,NW,NW,1,white,blue,4511_Tri_blue
5,10,Tri,4547,PlantNW-SoilW-FungW,NW,W,W,1,purple,purple,4547_Tri_purple
5,21,Tri,4576,PlantW-SoilNW-FungNW,W,NW,NW,1,yellow,yellow,4576_Tri_yellow
6,11,Tri,4582,PlantNW-SoilW-FungNW,NW,W,NW,1,green,green,4582_Tri_green
7,35,Mai,4632,PlantNW-SoilW-FungNW,NW,W,NW,2,green,green,4632_Mai_green
7,24,Mai,4676,PlantNW-SoilNW-FungNW,NW,NW,NW,1,white,blue,4676_Mai_blue
7,34,Mai,4698,PlantNW-SoilW-FungNW,NW,W,NW,2,green,green,4698_Mai_green
6,2,Tri,4712,PlantW-SoilW-FungW,W,W,W,1,red,red,4712_Tri_red
3,7,Tri,4714,PlantW-SoilNW-FungNW,W,NW,NW,1,yellow,yellow,4714_Tri_yellow
6,8,Mai,4722,PlantW-SoilNW-FungNW,W,NW,NW,1,yellow,yellow,4722_Mai_yellow
7,23,Mai,4736,PlantNW-SoilW-FungNW,NW,W,NW,2,green,green,4736_Mai_green
4,31,Mai,4740,PlantW-SoilW-FungW,W,W,W,2,red,red,4740_Mai_red
6,12,Tri,4745,PlantNW-SoilW-FungNW,NW,W,NW,1,green,green,4745_Tri_green
6,2,Tri,4760,PlantW-SoilNW-FungWsterile,W,NW,Wsterile,1,pink_blue,pink_blue,4760_Tri_pink_blue
5,23,Mai,4781,PlantNW-SoilW-FungNW,NW,W,NW,3,green,green,4781_Mai_green
7,30,Mai,4802,PlantNW-SoilNW-FungNW,NW,NW,NW,1,white,blue,4802_Mai_blue
7,15,Mai,4804,PlantW-SoilNW-FungWsterile,W,NW,Wsterile,1,pink_blue,pink_blue,4804_Mai_pink_blue
7,30,Mai,4834,PlantNW-SoilW-FungW,NW,W,W,1,purple,purple,4834_Mai_purple
7,19,Mai,4844,PlantW-SoilW-FungW,W,W,W,1,red,red,4844_Mai_red
7,24,Mai,4859,PlantNW-SoilNW-FungNW,NW,NW,NW,2,white,blue,4859_Mai_blue
7,24,Mai,4865,PlantNW-SoilW-FungW,NW,W,W,2,purple,purple,4865_Mai_purple
7,19,Mai,4871,PlantW-SoilW-FungNW,W,W,NW,2,orange,orange,4871_Mai_orange
7,28,Mai,4874,PlantNW-SoilW-FungW,NW,W,W,1,purple,purple,4874_Mai_purple
7,35,Mai,4883,PlantNW-SoilNW-FungNW,NW,NW,NW,2,white,blue,4883_Mai_blue
3,23,Tri,4934,PlantNW-SoilW-FungNW,NW,W,NW,1,green,green,4934_Tri_green
3,27,Tri,4942,PlantW-SoilNW-FungW,W,NW,W,1,pink,pink,4942_Tri_pink
5,22,Tri,4959,PlantNW-SoilW-FungNW,NW,W,NW,1,green,green,4959_Tri_green
5,22,Tri,4990,PlantNW-SoilNW-FungW,NW,NW,W,1,white,white,4990_Tri_white
