SYS,SYS,SYS,SYS,SYS,USERDEF,USERDEF,USERDEF,USERDEF,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,MATCH,MATCH,MATCH,MATCH,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,META,META,META,META,META,META,META
9,09:46:25,2025-12-11,TT25_psf_dark,eap,,3077_Tri_pink,,,0.002687,2.922274,0.002684,0.040892,0.686374,0.685341,2.041493,1.355119,7.588131,7.599566,22.603514,0.441786,7.500000,PSF-00438_20251211094625_c68,226.731415,639.019104,0.645188,0.000000,0.000000,0.000000,0.5,0.80,0.046341,1.000000,25.62,25.58,22.16,17.77,17.77,90.32,156.8,158.6,-1.1,0,4.105,09:42:10,2025-12-11,-0.28,1,0.002,0.002,-9999.000,-1.101,0.462,-9999.000,1,150,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,5.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.433824,2.448230,1.656092,0.942796,0.305529,-0.046947,0.084970,0.107463,226.731415,0.000236,2.388960,-0.000025,1.000000,2.402765,-0.000034,1.000000,0.600816,0.600971,0.107301,0.000000,PSF-00438_20251211094625_c68,PFA-00474,PSA-00486,PSF-00438,RHS-00603,3.0.0,2025-12-10T14:09:08.064Z
10,09:46:49,2025-12-11,TT25_psf_dark,eap,,flag2_tri_Tri_pink,,,-0.011166,2.921092,-0.011209,-0.184871,0.694829,0.699503,2.160959,1.466130,7.744547,7.692803,23.925060,0.441786,7.500000,PSF-00438_20251211094649_75c,322.893616,389.259338,0.170492,0.000000,0.000000,0.000000,0.5,0.80,0.041906,1.000000,26.12,26.30,22.04,18.68,18.68,90.32,156.6,158.5,-1.2,1,4.103,09:42:10,2025-12-11,-0.28,1,0.000,-0.000,-9999.000,-0.023,-0.483,-9999.000,1,150,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,5.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.434931,2.449020,1.654855,0.942617,0.307012,-0.035982,0.088235,0.107854,322.893616,0.000238,2.388960,-0.000025,1.000000,2.402765,-0.000034,1.000000,0.600816,0.600971,0.107301,0.000000,PSF-00438_20251211094649_75c,PFA-00474,PSA-00486,PSF-00438,RHS-00603,3.0.0,2025-12-10T14:09:08.064Z
11,09:47:21,2025-12-11,TT25_psf_dark,eap,,4373_Tri_pink,,,-0.010887,2.922154,-0.010928,-0.174038,0.689389,0.693785,2.105564,1.416175,7.681605,7.632931,23.312851,0.441786,7.500000,PSF-00438_20251211094721_877,351.475586,385.278229,0.087736,0.000000,0.000000,0.000000,0.5,0.80,0.017589,1.000000,26.13,26.30,21.90,18.26,18.26,90.32,156.8,158.5,-1.1,1,4.102,09:42:10,2025-12-11,-0.28,1,0.001,0.002,-9999.000,-0.623,-1.535,-9999.000,1,150,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,5.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.434952,2.449055,1.655966,0.942695,0.308673,-0.038910,0.092352,0.107752,351.475586,0.000238,2.388960,-0.000025,1.000000,2.402765,-0.000034,1.000000,0.600816,0.600971,0.107301,0.000000,PSF-00438_20251211094721_877,PFA-00474,PSA-00486,PSF-00438,RHS-00603,3.0.0,2025-12-10T14:09:08.064Z
12,09:47:40,2025-12-11,TT25_psf_dark,eap,,2573_Tri_pink,,,0.001410,2.920930,0.001409,0.020925,0.688922,0.688393,2.010205,1.321282,7.622581,7.628439,22.258997,0.441786,7.500000,PSF-00438_20251211094740_e28,165.143616,560.648560,0.705442,0.000000,0.000000,0.000000,0.5,0.80,0.160381,1.000000,26.26,26.24,21.81,17.52,17.52,90.31,156.6,140.6,10.2,1,4.074,09:42:10,2025-12-11,-0.28,1,-0.000,-0.001,-9999.000,0.008,-0.328,-9999.000,1,150,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,5.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.434877,2.449264,1.654685,0.897555,0.309804,-0.045706,0.094961,0.107812,165.143616,0.000236,2.388960,-0.000025,1.000000,2.402765,-0.000034,1.000000,0.600816,0.600971,0.107301,0.000000,PSF-00438_20251211094740_e28,PFA-00474,PSA-00486,PSF-00438,RHS-00603,3.0.0,2025-12-10T14:09:08.064Z
13,09:48:03,2025-12-11,TT25_psf_dark,eap,,4777-A_Tri_pink,,,-0.016753,2.921340,-0.016849,-0.227952,0.670410,0.676172,1.874901,1.204492,7.487643,7.423836,20.761875,0.441786,7.500000,PSF-00438_20251211094803_db8,342.665802,415.955200,0.176195,0.000000,0.000000,0.000000,0.5,0.80,0.005679,1.000000,25.70,25.92,21.72,16.43,16.43,90.31,156.7,158.2,-1.0,0,4.100,09:42:10,2025-12-11,-0.28,1,-0.001,-0.002,-9999.000,-0.417,-1.374,-9999.000,1,150,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,5.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.434412,2.448430,1.655113,0.941760,0.310978,-0.056205,0.097905,0.107373,342.665802,0.000239,2.388960,-0.000025,1.000000,2.402765,-0.000034,1.000000,0.600816,0.600971,0.107301,0.000000,PSF-00438_20251211094803_db8,PFA-00474,PSA-00486,PSF-00438,RHS-00603,3.0.0,2025-12-10T14:09:08.064Z
14,09:48:55,2025-12-11,TT25_psf_dark,eap,,2703_Tri_pink,,,-0.012292,2.921426,-0.012344,-0.216190,0.700537,0.705999,2.256107,1.555570,7.818485,7.757994,24.984917,0.441786,7.500000,PSF-00438_20251211094855_286,233.554245,511.525146,0.543416,0.000000,0.000000,0.000000,0.5,0.80,0.011119,1.000000,27.18,27.39,21.52,19.37,19.37,90.30,156.7,129.1,17.6,0,4.072,09:42:10,2025-12-11,-0.28,1,-0.000,-0.001,-9999.000,-0.257,-1.500,-9999.000,1,150,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,5.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.436651,2.450702,1.655204,0.869468,0.313419,-0.022874,0.104906,0.107347,233.554245,0.000237,2.388960,-0.000025,1.000000,2.402765,-0.000034,1.000000,0.600816,0.600971,0.107301,0.000000,PSF-00438_20251211094855_286,PFA-00474,PSA-00486,PSF-00438,RHS-00603,3.0.0,2025-12-10T14:09:08.064Z
15,09:49:16,2025-12-11,TT25_psf_dark,eap,,5115_Tri_pink,,,-0.014440,2.922172,-0.014512,-0.203063,0.674562,0.679691,1.919938,1.245376,7.527182,7.470381,21.262188,0.441786,7.500000,PSF-00438_20251211094916_b42,371.657959,428.238983,0.132125,0.000000,0.000000,0.000000,0.5,0.80,0.002977,1.000000,26.30,26.50,21.44,16.80,16.80,90.30,156.8,156.1,0.4,0,4.099,09:42:10,2025-12-11,-0.28,1,0.001,0.002,-9999.000,-0.150,0.010,-9999.000,1,150,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,5.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.435330,2.449389,1.655985,0.936508,0.314454,-0.049251,0.107551,0.107352,371.657959,0.000238,2.388960,-0.000025,1.000000,2.402765,-0.000034,1.000000,0.600816,0.600971,0.107301,0.000000,PSF-00438_20251211094916_b42,PFA-00474,PSA-00486,PSF-00438,RHS-00603,3.0.0,2025-12-10T14:09:08.064Z
16,09:49:52,2025-12-11,TT25_psf_dark,eap,,972_Tri_purple,,,-0.015417,2.920994,-0.015499,-0.235031,0.657877,0.663820,2.007011,1.349135,7.351211,7.285395,22.225853,0.441786,7.500000,PSF-00438_20251211094952_fb6,186.222549,514.789246,0.638255,0.000000,0.000000,0.000000,0.5,0.80,0.120341,1.000000,25.84,26.08,21.32,17.50,17.50,90.30,156.6,158.3,-1.1,0,4.099,09:42:10,2025-12-11,-0.28,1,-0.000,0.002,-9999.000,-0.166,0.266,-9999.000,1,150,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,5.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.434703,2.448707,1.654752,0.942137,0.315977,-0.040554,0.112173,0.107725,186.222549,0.000239,2.388960,-0.000025,1.000000,2.402765,-0.000034,1.000000,0.600816,0.600971,0.107301,0.000000,PSF-00438_20251211094952_fb6,PFA-00474,PSA-00486,PSF-00438,RHS-00603,3.0.0,2025-12-10T14:09:08.064Z
17,09:50:07,2025-12-11,TT25_psf_dark,eap,,3043_Tri_purple,,,-0.012044,2.923758,-0.012093,-0.172764,0.653158,0.657517,1.924756,1.271598,7.281492,7.233216,21.315187,0.441786,7.500000,PSF-00438_20251211095007_827,140.352493,452.897797,0.690101,0.000000,0.000000,0.000000,0.5,0.80,0.077441,1.000000,25.74,25.92,21.27,16.84,16.84,90.30,157.0,158.7,-1.1,0,4.098,09:42:10,2025-12-11,-0.28,1,0.001,0.002,-9999.000,-0.417,0.435,-9999.000,1,150,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,5.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.434467,2.448563,1.657650,0.943259,0.316668,-0.046916,0.113999,0.107553,140.352493,0.000236,2.388960,-0.000025,1.000000,2.402765,-0.000034,1.000000,0.600816,0.600971,0.107301,0.000000,PSF-00438_20251211095007_827,PFA-00474,PSA-00486,PSF-00438,RHS-00603,3.0.0,2025-12-10T14:09:08.064Z
18,09:50:26,2025-12-11,TT25_psf_dark,eap,,2379_Tri_purple,,,-0.009560,2.921187,-0.009592,-0.146846,0.654201,0.657914,2.016196,1.361995,7.285985,7.244869,22.328125,0.441786,7.500000,PSF-00438_20251211095026_336,172.238953,632.830017,0.727827,0.000000,0.000000,0.000000,0.5,0.80,0.012924,1.000000,25.89,26.04,21.20,17.57,17.57,90.30,156.6,158.5,-1.2,0,4.069,09:42:10,2025-12-11,-0.28,1,-0.001,-0.005,-9999.000,0.277,0.452,-9999.000,1,150,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,5.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.434663,2.448799,1.654954,0.942672,0.317523,-0.038452,0.116322,0.107341,172.238953,0.000238,2.388960,-0.000025,1.000000,2.402765,-0.000034,1.000000,0.600816,0.600971,0.107301,0.000000,PSF-00438_20251211095026_336,PFA-00474,PSA-00486,PSF-00438,RHS-00603,3.0.0,2025-12-10T14:09:08.064Z
19,09:50:43,2025-12-11,TT25_psf_dark,eap,,,,,-0.000217,2.922158,-0.000217,-0.003090,0.667736,0.667814,1.934462,1.266726,7.396239,7.395375,21.424751,0.441786,7.500000,PSF-00438_20251211095043_c5c,150.632141,559.682251,0.730861,0.000000,0.000000,0.000000,0.5,0.80,0.009259,1.000000,26.54,26.54,21.13,16.92,16.92,90.29,156.8,158.5,-1.1,0,4.096,09:42:10,2025-12-11,-0.28,1,0.002,0.003,-9999.000,-0.223,-0.050,-9999.000,1,150,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,5.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.435437,2.449798,1.655970,0.942716,0.318413,-0.044581,0.118383,0.107329,150.632141,0.000236,2.388960,-0.000025,1.000000,2.402765,-0.000034,1.000000,0.600816,0.600971,0.107301,0.000000,PSF-00438_20251211095043_c5c,PFA-00474,PSA-00486,PSF-00438,RHS-00603,3.0.0,2025-12-10T14:09:08.064Z
20,09:52:23,2025-12-11,TT25_psf_dark,eap,,4547_Tri_purple,,,-0.008695,2.922716,-0.008721,-0.128790,0.614958,0.618212,1.929463,1.314504,6.847277,6.811244,21.370621,0.441786,7.500000,PSF-00438_20251211095223_cb7,174.548157,497.115967,0.648878,0.000000,0.000000,0.000000,0.5,0.80,0.007292,1.000000,24.69,24.82,20.97,16.88,16.88,90.29,156.8,158.8,-1.3,0,4.094,09:42:10,2025-12-11,-0.28,1,-0.001,-0.001,-9999.000,-1.089,0.909,-9999.000,1,150,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,5.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.432842,2.446990,1.656555,0.943393,0.320505,-0.043221,0.131416,0.107326,174.548157,0.000236,2.388960,-0.000025,1.000000,2.402765,-0.000034,1.000000,0.600816,0.600971,0.107301,0.000000,PSF-00438_20251211095223_cb7,PFA-00474,PSA-00486,PSF-00438,RHS-00603,3.0.0,2025-12-10T14:09:08.064Z
21,09:52:55,2025-12-11,TT25_psf_dark,eap,,,,,0.001155,2.921711,0.001154,0.018549,0.651132,0.650663,2.080398,1.429266,7.205750,7.210941,23.039307,0.441786,7.500000,PSF-00438_20251211095255_513,136.853104,633.288879,0.783901,0.000000,0.000000,0.000000,0.5,0.80,0.010679,1.000000,26.17,26.15,20.95,18.07,18.07,90.30,156.7,158.7,-1.3,0,4.093,09:52:43,2025-12-11,-0.12,1,0.001,-0.002,-9999.000,0.617,0.576,-9999.000,1,150,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,5.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.434877,2.449013,1.655502,0.943072,0.320761,-0.030394,0.135292,0.107332,136.853104,0.000236,2.388960,-0.000025,1.000000,2.402765,-0.000034,1.000000,0.600816,0.600971,0.107301,0.000000,PSF-00438_20251211095255_513,PFA-00474,PSA-00486,PSF-00438,RHS-00603,3.0.0,2025-12-10T14:09:08.064Z
