id,spp,trt,anet,gsw,ci.ca,Vcmax,Jmax,Rd,iwue
TT24_111,Mai,red,1.26279868,0.014122009,0.611322829,23.22545846,46.63007586,2.957860133,89.42061147
4844,Mai,red,0.654750373,0.005384756,0.486968014,11.83502426,21.12976655,1.164315331,121.5933225
5600,Mai,red,2.969509807,0.02086819,0.402560518,47.59304922,109.4186951,3.043129404,142.2983885
4193,Mai,pink,1.819415207,0.015857157,0.510746153,25.57043701,51.22671073,1.986766949,114.737796
4061,Mai,pink,0.71113265,0.010053887,0.686743155,12.72605841,34.31249726,2.022267942,70.73211433
TT24_104,Mai,pink,2.782044025,0.018994026,0.382800275,28.29037996,56.65187883,0.828425571,146.4694217
4237,Mai,pink,3.752878216,0.036149759,0.553442785,33.76025138,123.7158508,1.763166079,103.8147494
5178,Mai,red,2.799592777,0.017888655,0.346329298,41.57021067,106.8597667,2.12204941,156.5010188
5122,Mai,red,1.478489633,0.012103491,0.483040756,19.60560026,46.23199581,1.461581582,122.1539795
545,Mai,red,2.830480182,0.026150941,0.535451455,27.53864139,85.35026531,1.636532964,108.2362662
2799,Mai,orange,0.221537568,0.002599023,0.627754453,3.258261685,7.291745365,0.55002059,85.23879462
3136,Mai,orange,1.14835714,0.011397746,0.567743757,16.99820897,44.50358701,1.947778646,100.7530062
TT24_130,Mai,orange,2.423979739,0.01897088,0.459831671,23.28587217,64.30483427,1.098416961,127.7737092
2546,Mai,orange,1.832495464,0.014914532,0.479059598,33.34888861,80.75986161,2.50060881,122.8664382
1689,Mai,orange,0.919234797,0.022086419,0.800448842,8.337414649,19.53578319,1.142863495,41.61991096
2689,Mai,red,2.373384048,0.016710325,0.40408107,33.7701891,67.39778858,2.571387967,142.030991
2310,Mai,green,1.867821694,0.017314424,0.537973482,22.76800912,64.88344291,2.029872024,107.8766301
4736,Mai,green,2.385667007,0.01680765,0.402161296,33.48783925,68.09131975,1.844999975,141.9393548
2616,Mai,green,1.217899348,0.00906999,0.433693192,29.45891341,56.6624183,2.628377916,134.2779186
6899,Mai,yellow,2.278667624,0.0165956,0.421348331,34.82058612,103.5659421,2.109030214,137.3055255
4781,Mai,green,1.516120216,0.013368846,0.521546807,17.82341851,35.72354713,1.713064878,113.4069624
TT24_230,Mai,green,1.874459075,0.010691279,0.270196936,17.82341851,35.72354713,1.713064878,175.32599
2803,Mai,green,0.24143238,0.003735325,0.711768091,NA,NA,NA,64.63490593
5069,Mai,green,3.704638634,0.037716293,0.576311205,26.41251758,97.49551711,1.298567402,98.22382688
5664,Mai,yellow,0.965372504,0.009676238,0.572640061,16.09769149,34.83044436,1.681833318,99.76733768
5579,Mai,yellow,0.833210329,0.007551442,0.531264466,19.54409633,36.99838052,2.340155705,110.3379102
3960,Mai,yellow,1.83787581,0.012689612,0.390639944,22.44207712,40.35943396,1.000028182,144.8330973
6483,Mai,yellow,3.833398738,0.024243551,0.336066432,41.95406715,169.7908697,1.319517009,158.1203516
631,Mai,yellow,3.655856727,0.028732156,0.459216182,32.0435373,87.21367121,1.436358167,127.2392082
6808,Mai,yellow,3.96811977,0.031467012,0.464273751,40.50228986,NA,1.829335884,126.1041169
901,Mai,yellow,2.522436722,0.018781358,0.432563368,24.64544648,63.6956734,1.204905785,134.3053452
4250,Mai,yellow,0.727944389,0.007591163,0.586713092,8.526998854,15.92030071,1.142616648,95.89365864
4722,Mai,yellow,1.638703792,0.016578525,0.574191395,19.99997564,56.80415621,1.721593551,98.84497086
1153,Mai,yellow,1.085387795,0.011149435,0.582059047,27.59383207,52.47332935,3.980892434,97.34912815
1495,Mai,yellow,1.435139777,0.015733091,0.604427164,13.4471228,39.29460114,1.18584744,91.21791827
TT24_112,Mai,yellow,1.213949711,0.009130893,0.440297628,18.83929767,39.15611489,1.427946021,132.9497284
1700,Mai,yellow,2.955533756,0.026474556,0.523009905,23.21194824,53.6277396,1.082375397,111.6367619
2726,Mai,purple,1.382496164,0.006948148,0.181093909,54.60186556,92.86578911,0,198.9733211
5569,Mai,purple,0.756955593,0.009019888,0.636077567,5.16562687,9.377562809,0.71603245,83.92073083
TT24_212,Mai,blueblue,0.756955593,0.009019888,0.636077567,8.707225568,19.29364393,1.05770942,83.92073083
1401,Mai,blueblue,2.765163911,0.019478194,0.405168384,33.37578109,69.38604531,1.465081859,141.9620254
5052,Mai,purple,1.065670584,0.005663491,0.225574539,6.70535167,17.2737453,0,188.1649647
4865,Mai,purple,0.104332531,0.003949387,0.865486151,NA,NA,NA,26.4173987
179,Mai,purple,1.291714357,0.006671038,0.205352399,27.26241795,29.13683688,0,193.6301902
5030,Mai,purple,1.404617267,0.009619745,0.393079785,32.43352354,54.77242067,2.572580593,146.0139813
5077,Mai,yellowblue,2.922378751,0.019402089,0.370652387,39.34802104,NA,2.115793841,150.6218634
6027,Mai,yellowblue,5.684667587,0.043481515,0.445838113,39.90903574,NA,0.493280629,130.7375709
6463,Mai,greenblue,1.408499692,0.009580311,0.388199353,28.23649417,52.80048505,2.221505312,147.0202504
2692,Mai,pinkblue,3.291611079,0.034831745,0.589137187,26.00803438,81.76749484,1.685939982,94.50032197
4804,Mai,pinkblue,1.194903227,0.02100266,0.740901086,20.11932447,71.18778738,2.71892269,56.89294697
2776,Mai,whiteblue,5.715841392,0.049047328,0.504271644,39.56980693,NA,1.2890442,116.5372631
TT24_206,Mai,purpleblue,2.069923498,0.007809928,0.271019288,18.60932822,30.12287648,0.565244084,265.0374453
6886,Mai,redblue,1.902128513,0.016627452,0.516984693,24.26389915,41.53501362,2.225667851,114.3968731
