id,spp,plot,subplot,FullExpTrt,PlantGMTrt,ExpSoilSource,ExpFungSource,machine,anet,gsw,iwue,ci.ca,Vcmax,Jmax,Rd,TPU,leaf_length,tla,jmax_vcmax,date,alive_dead,height_cm,number_leaves,gasket,shoot_mass_g,root_mass_g,rhizome_mass_g,root_shoot_withoutRhizome,root_shoot,root_rhizome,rhizome_shoot,total_biomass,leaf_area_ratio,note
2131,Tri,7,11,PlantNW-SoilW-FungW,NW,W,W,stan,1.883039325,0.012839309,146.6620441,0.357148887,69.05656022,84.29743018,6.005861648,NA,5.7,46.01767605,0.819201251,12/22/25,alive,11.5,3,good,3.31,2.22,13.47,0.670694864,4.740181269,6.067567568,4.069486405,19,2.42198295,
2276,Tri,6,22,PlantNW-SoilW-FungWsterile,NW,W,Wsterile,yadi,-0.055103671,0.004198884,NA,NA,3.150887187,7.085526074,0.960871746,NA,4.8,31.53049016,0.444693471,12/23/25,alive,11.3,3,good,1.18,0.58,5.9,0.491525424,5.491525424,10.17241379,5,7.66,4.11625198,
2289,Tri,7,11,PlantNW-SoilW-FungNW,NW,W,NW,yadi,2.227083559,0.021385472,104.1400235,0.540739876,21.55081902,52.78549314,1.345429292,NA,7,72.31288492,0.408271624,12/22/25,alive,15.6,3,good,4.19,2.38,11.11,0.568019093,3.219570406,4.668067227,2.651551313,17.68,4.090095301,
2329,Tri,3,20,PlantW-SoilW-FungW,W,W,W,albert,0.277309449,0.009438293,29.38131306,0.823724606,4.174347161,11.49221579,0.922573838,NA,7.8,91.75043372,0.363232577,12/23/25,alive,20.2,3,good,5.74,1.22,18.21,0.212543554,3.385017422,14.92622951,3.172473868,25.17,3.645229786,flowering
2379,Tri,7,23,PlantNW-SoilW-FungW,NW,W,W,stan,0.287217216,0.008679278,33.09229178,0.775113621,6.183617648,11.42420133,1.375433962,NA,4.9,32.99372696,0.541273518,12/22/25,alive,6.1,3,good,2.61,1.19,20.18,0.455938697,8.187739464,16.95798319,7.731800766,23.98,1.375885194,
2382,Tri,7,23,PlantNW-SoilNW-FungNW,NW,NW,NW,stan,0.131541581,0.016739822,7.858003773,0.906491873,2.147408709,6.578260125,0.482457284,NA,4.9,32.99372696,0.326440224,12/23/25,alive,12.1,2,good,2.9,1.7,15.98,0.586206897,6.096551724,9.4,5.510344828,20.58,1.60319373,"seneseed, flowering"
2416,Tri,3,17,PlantNW-SoilW-FungNWsterile,NW,W,NWsterile,yadi,0.209583706,0.007910648,26.49387332,0.795530314,4.035013416,11.36144969,0.794195717,NA,4.4,26.03729648,0.355149521,12/23/25,alive,12.9,3,bad,0.86,0.62,4.03,0.720930233,5.406976744,6.5,4.686046512,5.51,4.725462156,"gaskets touching, seneseed"
2547,Tri,5,19,PlantW-SoilNW-FungW,W,NW,W,yadi,-0.193447844,0.007234533,NA,NA,3.039213416,5.608356818,1.003288398,0.391323559,5.9,49.64487547,0.541907998,12/22/25,alive,20.9,6,good,5.51,2.64,29.1,0.479128857,5.760435572,11.02272727,5.281306715,37.25,1.332748335,twins
2563,Tri,5,16,PlantNW-SoilNW-FungW,NW,NW,W,yadi,0.198935906,0.004080862,48.74850117,0.917654933,4.321809051,12.69715802,0.761380085,NA,5.6,44.26022929,0.340376094,12/24/25,alive,13.4,6,good,4.01,0.5,37.24,0.124688279,9.411471322,74.48,9.286783042,41.75,1.060125252,twins
2573,Tri,5,31,PlantW-SoilNW-FungW,W,NW,W,stan,1.031673289,0.007724746,133.5543396,0.38433413,30.53522816,40.40288573,3.74678394,2.173005219,7.9,94.35818984,0.755768496,12/23/25,alive,16.5,3,good,4.33,2.31,9.22,0.533487298,2.662817552,3.991341991,2.129330254,15.86,5.949444505,
2703,Tri,4,8,PlantW-SoilNW-FungW,W,NW,W,stan,1.231051654,0.011150929,110.3990213,0.478271903,15.59604751,24.21024976,1.671780455,NA,6.5,61.43408363,0.64419193,12/22/25,alive,19.4,3,good,5.22,1.56,13.03,0.298850575,2.795019157,8.352564103,2.496168582,19.81,3.101165252,root trying to cross
2912,Tri,5,11,PlantNW-SoilNW-FungWsterile,NW,NW,Wsterile,stan,1.252852654,0.011946111,104.8753568,0.527704327,16.90966539,32.1312178,1.794976709,NA,5,34.49324154,0.526269048,12/24/25,alive,8,3,good,1.7,0.45,14.61,0.264705882,8.858823529,32.46666667,8.594117647,16.76,2.058069304,
2927,Tri,7,14,PlantW-SoilW-FungNW,W,W,NW,stan,-0.058052903,0.005997499,NA,0.848684685,2.023616268,4.155799955,0.641092281,NA,6,51.51488692,0.486937843,12/24/25,alive,11.6,3,good,1.9,1.47,8.68,0.773684211,5.342105263,5.904761905,4.568421053,12.05,4.27509435,
2941,Tri,6,6,PlantNW-SoilW-FungW,NW,W,W,gibson,1.01117085,0.017527032,57.69207499,0.744842718,22.21502571,63.14376122,3.817985447,NA,6.3,57.3520847,0.351816637,12/22/25,alive,8.3,6,good,4.17,2.65,14.02,0.635491607,3.997601918,5.290566038,3.362110312,20.84,2.75201942,"flowering, twin"
2980,Tri,6,11,PlantNW-SoilNW-FungW,NW,NW,W,ozzie,1.377002489,0.014825178,92.88269651,0.567697112,10.73872749,27.47274974,0.78555108,NA,5.6,44.26022929,0.390886518,12/23/25,alive,13.2,3,good,2.43,1.61,6.59,0.66255144,3.374485597,4.093167702,2.711934156,10.63,4.163709246,
2988,Tri,5,33,PlantW-SoilNW-FungNW,W,NW,NW,albert,0.194421174,0.004969023,39.12663676,0.508932676,4.395749716,10.31521378,1.041752058,NA,6.1,53.42267582,0.426142377,12/24/25,alive,15.3,3,good,2.55,1.21,26.51,0.474509804,10.87058824,21.90909091,10.39607843,30.27,1.764872012,
2996A1,Tri,7,14,PlantW-SoilW-FungW,W,W,W,ozzie,2.64580935,0.014921764,177.3120997,0.210686021,35.39278334,68.9172783,0.789594701,NA,NA,NA,0.513554572,12/22/25,alive,11.6,3,good,2.97,0.74,9.26,0.249158249,3.367003367,12.51351351,3.117845118,12.97,NA,
2996A2,Tri,7,14,PlantW-SoilW-FungW,W,W,W,albert,-0.084678067,0.0044032,NA,NA,1.862627748,5.602596797,0.643232649,NA,5,34.49324154,0.332457933,12/23/25,alive,10.1,3,good,0.16,0.95,7.32,5.9375,51.6875,7.705263158,45.75,8.43,4.091724975,
2996A3,Tri,7,14,PlantW-SoilW-FungW,W,W,W,yadi,-0.048303355,0.003212264,NA,0.921679043,4.272762523,8.521093057,1.357197972,NA,7,72.31288492,0.501433618,12/24/25,alive,7.1,3,good,1.07,0.81,7.75,0.757009346,8,9.567901235,7.242990654,9.63,7.50912616,droopy
3004,Tri,5,21,PlantW-SoilW-FungNW,W,W,NW,yadi,0.155246812,0.002582605,60.11248797,0.496512233,6.134084591,11.57202241,0.742514432,NA,6.5,61.43408363,0.530078873,12/24/25,alive,15.1,3,good,2.01,1.09,8.29,0.542288557,4.666666667,7.605504587,4.124378109,11.39,5.393686008,
3031,Tri,4,28,PlantNW-SoilNW-FungW,NW,NW,W,stan,-0.127314949,0.002004627,NA,NA,7.194913998,10.91434416,2.183238121,0.644039383,6.5,61.43408363,0.659216339,12/22/25,alive,10.2,3,good,2.29,1.64,6.88,0.716157205,3.720524017,4.195121951,3.004366812,10.81,5.683078967,
3043,Tri,7,24,PlantNW-SoilW-FungW,NW,W,W,albert,3.043868056,0.034726641,87.65224656,0.610510074,17.81651396,45.36784897,0.838089402,NA,5.6,44.26022929,0.392712336,12/22/25,alive,18.2,3,good,3.44,3.74,15.59,1.087209302,5.619186047,4.168449198,4.531976744,22.77,1.943795753,
3077,Tri,5,21,PlantW-SoilNW-FungW,W,NW,W,gibson,0.253672754,0.006048007,41.9431961,0.775187639,10.62485326,28.30581259,2.396117397,NA,5.5,42.54004225,0.375359415,12/24/25,alive,10.3,3,good,2.12,1.19,14.6,0.561320755,7.448113208,12.26890756,6.886792453,17.91,2.375211739,flowering
3305,Tri,6,5,PlantNW-SoilNW-FungW,NW,NW,W,gibson,-0.105742179,0.005925187,NA,NA,1.282674273,3.486450689,0.265608213,NA,4.4,26.03729648,0.3679026,12/24/25,dead,2.9,3,good,0.18,0.19,4.25,1.055555556,24.66666667,22.36842105,23.61111111,4.62,5.635778458,droopy
3371,Tri,6,11,PlantNW-SoilNW-FungNW,NW,NW,NW,gibson,-0.172823614,0.002546648,NA,NA,1.345081278,4.204872253,0.649469766,NA,6,51.51488692,0.31988636,12/22/25,alive,9.1,3,good,1.7,1.68,10.06,0.988235294,6.905882353,5.988095238,5.917647059,13.44,3.832952896,
3526,Tri,7,35,PlantNW-SoilW-FungNW,NW,W,NW,gibson,0.088930215,0.006758309,13.1586481,0.832476412,13.62413723,21.71210099,3.721679382,NA,5.2,37.60168925,0.627490506,12/24/25,alive,13.1,3,good,2.08,1.66,11.6,0.798076923,6.375,6.987951807,5.576923077,15.34,2.451218335,
3563,Tri,3,4,PlantNW-SoilW-FungW,NW,W,W,albert,0.126577176,0.003323729,38.08288645,0.775157318,3.612409472,8.375269187,0.752710705,NA,4.6,28.71225019,0.431318611,12/24/25,alive,3.6,3,good,0.71,0.69,3.41,0.971830986,5.774647887,4.942028986,4.802816901,4.81,5.969282784,
3708,Tri,4,10,PlantNW-SoilNW-FungNW,NW,NW,NW,gibson,0.181233225,0.005988132,30.26540121,0.838153307,5.537545026,14.34947021,1.413600554,NA,6.6,63.53260431,0.385905887,12/22/25,alive,16.5,3,good,4.36,1.13,18.06,0.259174312,4.401376147,15.98230088,4.142201835,23.55,2.69777513,the scan envelope is wrong; is actually 3708 moved to correct envelope
3829,Tri,5,33,PlantW-SoilNW-FungNW,W,NW,NW,yadi,0.058138581,0.003296197,17.63807967,NA,8.247384711,13.93027443,2.015943762,0.91080742,4.6,28.71225019,0.59204754,12/23/25,alive,10.2,3,good,1.52,0.55,11.44,0.361842105,7.888157895,20.8,7.526315789,13.51,2.125259082,seneseed
392,Tri,3,22,PlantNW-SoilNW-FungNW,NW,NW,NW,yadi,-0.188787505,0.006126526,NA,NA,1.420539676,4.270265572,0.487585449,NA,5.2,37.60168925,0.332658391,12/22/25,dead_other,10.9,3,good,1.54,0.42,7.69,0.272727273,5.266233766,18.30952381,4.993506494,9.65,3.896548109,seneseed
4000,Tri,5,20,PlantW-SoilW-FungW,W,W,W,gibson,2.024944757,0.019217338,105.3707208,0.529415444,21.11065925,50.21089908,1.837427469,NA,7.5,84.16563017,0.420439778,12/22/25,alive,19.5,3,good,6.71,2.08,22.51,0.309985097,3.664679583,10.82211538,3.354694486,31.3,2.688997769,flowering
4081,Tri,7,18,PlantNW-SoilW-FungNW,NW,W,NW,albert,-0.139468471,0.004037786,NA,NA,1.612069215,4.330691019,0.619620003,NA,4.8,31.53049016,0.372242953,12/23/25,alive,8,3,good,0.99,0.68,3.48,0.686868687,4.202020202,5.117647059,3.515151515,5.15,6.122425275,seneseed
4105,Tri,5,10,PlantNW-SoilW-FungW,NW,W,W,albert,-0.111019919,0.003584501,NA,NA,1.183627041,3.649085201,0.437041475,NA,5.4,40.8569809,0.324362676,12/24/25,alive,6.1,3,good,1.28,0.98,12.74,0.765625,10.71875,13,9.953125,15,2.723798727,senessed
4109,Tri,5,32,PlantW-SoilW-FungW,W,W,W,stan,-0.155719847,0.004833417,NA,NA,6.615857267,12.26437299,2.335392692,0.863671582,4.8,31.53049016,0.539437057,12/23/25,alive,16.1,3,good,3.28,1.03,12.05,0.31402439,3.987804878,11.69902913,3.673780488,16.36,1.927291575,
4149,Tri,5,13,PlantW-SoilW-FungW,W,W,W,gibson,0.715728044,0.007219697,99.13546557,0.514798147,11.01368089,22.23942954,1.666255416,NA,7.1,74.60507429,0.495232167,12/22/25,alive,14.8,3,good,4.44,1.2,11.36,0.27027027,2.828828829,9.466666667,2.558558559,17,4.388533782,flowering
4177,Tri,5,14,PlantW-SoilW-FungNW,W,W,NW,albert,2.132263409,0.018862076,113.0450015,0.558399348,15.91440992,37.23809857,0.730244912,NA,7.1,74.60507429,0.427369026,12/23/25,alive,15.5,3,good,2.82,1.29,11.85,0.457446809,4.659574468,9.186046512,4.20212766,15.96,4.674503402,flowering
4265,Tri,5,31,PlantW-SoilW-FungW,W,W,W,yadi,-0.050566173,0.005541186,NA,NA,3.639224376,9.739777423,1.037600116,NA,6.4,59.37395005,0.373645538,12/24/25,alive,12.9,3,good,2.07,1.49,13.42,0.719806763,7.202898551,9.006711409,6.483091787,16.98,3.496699061,senessed
43,Tri,5,9,PlantW-SoilNW-FungWsterile,W,NW,Wsterile,gibson,1.649321402,0.017538437,94.04038695,0.541539019,11.64692186,30.35830196,0.790029773,NA,7.1,74.60507429,0.38364866,12/23/25,alive,20.5,3,good,3.7,1.33,11.76,0.359459459,3.537837838,8.842105263,3.178378378,16.79,4.443423126,
4373,Tri,6,2,PlantW-SoilNW-FungW,W,NW,W,stan,1.02003027,0.00863916,118.0705387,0.377020688,20.7785925,33.23668382,2.777222487,NA,5.1,36.02918078,0.625170448,12/23/25,alive,17.1,3,good,1.46,0.31,5.25,0.212328767,3.808219178,16.93548387,3.595890411,7.02,5.132361935,garlic mustard growing in pot (rosette)
4414,Tri,5,22,PlantNW-SoilW-FungW,NW,W,W,albert,0.227505279,0.004169256,54.56735414,0.796709387,5.410479839,14.92109111,1.00300485,NA,5.5,42.54004225,0.362606179,12/24/25,alive,6.2,3,good,1.75,1.52,8.97,0.868571429,5.994285714,5.901315789,5.125714286,12.24,3.475493648,
4444(2988),Tri,5,33,PlantW-SoilW-FungWsterile,W,W,Wsterile,ozzie,2.395362528,0.020497279,116.8624632,0.490213204,16.61665622,33.9140515,0.772624765,NA,7.5,84.16563017,0.489963761,12/22/25,alive,18.4,3,good,5.42,1.31,12.64,0.241697417,2.573800738,9.648854962,2.332103321,19.37,4.345153855,flowering
4452,Tri,4,7,PlantW-SoilNW-FungW,W,NW,W,gibson,-0.295591399,0.004336844,NA,NA,4.376983438,11.24464043,1.82497459,NA,6.9,70.05965585,0.389250636,12/24/25,alive,23.7,3,good,3.19,1.35,13.33,0.423197492,4.601880878,9.874074074,4.178683386,17.87,3.920517955,
4505,Tri,6,11,PlantNW-SoilNW-FungNW,NW,NW,NW,albert,-0.222927881,0.006131696,NA,NA,2.362767051,6.599583978,0.988497616,NA,5.9,49.64487547,0.358017575,12/23/25,alive,19.4,6,good,5.67,2.33,20.33,0.410934744,3.996472663,8.725321888,3.585537919,28.33,1.752378237,"twins, seneseed, flowering"
4511,Tri,6,16,PlantNW-SoilNW-FungNW,NW,NW,NW,yadi,0.277116009,0.005693725,48.67042358,0.731474516,6.446025104,12.42526476,1.271116223,NA,8.1,99.6935455,0.518783722,12/24/25,alive,18.4,6,good,6.5,4.77,25.38,0.733846154,4.638461538,5.320754717,3.904615385,36.65,2.72015131,"twins, flowering"
452,Tri,3,22,PlantNW-SoilNW-FungNW,NW,NW,NW,albert,1.086874795,0.00942269,115.3465523,0.528151344,10.63695173,22.83355537,0.753202116,NA,5.5,42.54004225,0.46584737,12/23/25,alive,17.9,3,good,3.06,1.62,10.34,0.529411765,3.908496732,6.382716049,3.379084967,15.02,2.832226515,
4547,Tri,5,10,PlantNW-SoilW-FungW,NW,W,W,stan,0.114561748,0.002348519,48.78041652,0.478681221,NA,NA,NA,NA,NA,NA,NA,12/22/25,alive,7.6,3,good,1.88,1.04,14.37,0.553191489,8.196808511,13.81730769,7.643617021,17.29,NA,
4576,Tri,5,21,PlantW-SoilNW-FungNW,W,NW,NW,ozzie,3.970314995,0.026264778,151.1649946,0.374119582,34.19723023,71.25191267,0.716502763,NA,6.6,63.53260431,0.479948242,12/22/25,alive,15.4,3,good,2.58,1.22,8.66,0.472868217,3.829457364,7.098360656,3.356589147,12.46,5.098924905,
4582,Tri,6,11,PlantNW-SoilW-FungNW,NW,W,NW,yadi,-0.369325717,0.002617288,NA,NA,2.884280517,6.195914444,1.226582251,NA,5,34.49324154,0.46551329,12/22/25,alive,13.8,3,good,1.43,0.84,7.49,0.587412587,5.825174825,8.916666667,5.237762238,9.76,3.5341436,
4712,Tri,6,2,PlantW-SoilW-FungW,W,W,W,albert,0.131663902,0.007484091,17.59250326,0.900105805,3.327297424,10.78387777,0.668616412,NA,5.9,49.64487547,0.308543689,12/23/25,alive,10,3,good,1.62,0.39,6.31,0.240740741,4.135802469,16.17948718,3.895061728,8.32,5.966932147,
4714,Tri,3,7,PlantW-SoilNW-FungNW,W,NW,NW,yadi,0.983110476,0.00395222,248.7489453,-1.287482267,27.30378122,38.39177343,2.844398538,NA,6.1,53.42267582,0.71118833,12/23/25,alive,13.6,3,good,2.87,1.49,20.54,0.519163763,7.675958188,13.7852349,7.156794425,24.9,2.145488989,flowering
4745,Tri,6,12,PlantNW-SoilW-FungNW,NW,W,NW,gibson,1.660897413,0.018578454,89.39912034,0.593302393,12.85503854,32.86547179,0.969283176,NA,5.2,37.60168925,0.391141153,12/24/25,alive,11.2,3,good,3.22,2.62,16.1,0.813664596,5.813664596,6.145038168,5,21.94,1.713841807,
4760,Tri,6,2,PlantW-SoilNW-FungWsterile,W,NW,Wsterile,gibson,0.353293752,0.005689165,62.09940334,0.671968217,3.612732675,9.040249451,0.430674762,NA,4.9,32.99372696,0.399627543,12/23/25,alive,12.1,3,good,1.09,0.31,4.2,0.28440367,4.137614679,13.5483871,3.853211009,5.6,5.891736957,
4777A,Tri,6,2,PlantW-SoilNW-FungW,W,NW,W,stan,-0.08386552,0.003277559,NA,0.852364434,4.615180212,8.549228335,1.23651779,NA,6.6,63.53260431,0.539835881,12/22/25,other,7.1,3,good,1.28,0.94,9,0.734375,7.765625,9.574468085,7.03125,11.22,5.662442452,seneseed
4777C,Tri,6,2,PlantW-SoilNW-FungNW,W,NW,NW,gibson,2.954182324,0.03186708,92.70326258,0.580578434,16.85679189,39.46961906,0.698455055,NA,5.9,49.64487547,0.42708271,12/22/25,dead_other,8.9,3,good,0.76,0.46,2.5,0.605263158,3.894736842,5.434782609,3.289473684,3.72,13.34539663,peticole pinched
482,Tri,5,22,PlantNW-SoilNW-FungNW,NW,NW,NW,yadi,0.795178699,0.011730144,67.78933583,0.691529179,7.102508718,17.64168998,0.863115063,NA,6.4,59.37395005,0.402597978,12/24/25,alive,12.9,3,good,3.12,1.52,6.38,0.487179487,2.532051282,4.197368421,2.044871795,11.02,5.387835758,
4934,Tri,3,23,PlantNW-SoilW-FungNW,NW,W,NW,yadi,-0.135212028,0.006619137,NA,NA,2.38469813,4.218071427,0.693297902,NA,4.8,31.53049016,0.565352714,12/22/25,alive,9.8,3,good,1.35,0.66,4.85,0.488888889,4.081481481,7.348484848,3.592592593,6.86,4.596281365,
4942,Tri,3,27,PlantW-SoilNW-FungW,W,NW,W,albert,-0.384474221,0.002449176,NA,NA,5.646081984,10.6924545,2.233331464,NA,5.3,39.21090925,0.528043583,12/23/25,alive,8.5,3,good,0.63,0.81,3.66,1.285714286,7.095238095,4.518518519,5.80952381,5.1,7.688413578,seneseed
4959,Tri,5,22,PlantNW-SoilW-FungNW,NW,W,NW,albert,-0.510526607,0.00678681,NA,NA,1.834306793,4.719372548,1.107403412,NA,6.6,63.53260431,0.388675989,12/23/25,alive,13.6,3,good,3.2,2.03,4.84,0.634375,2.146875,2.384236453,1.5125,10.07,6.309096754,flowering
4990,Tri,5,22,PlantNW-SoilNW-FungW,NW,NW,W,yadi,3.509764022,0.024875988,141.0904372,0.388426083,32.66507725,75.18324515,0.878055249,NA,7.4,81.71650495,0.434472829,12/24/25,alive,15.9,6,good,6.75,2.86,21.99,0.423703704,3.681481481,7.688811189,3.257777778,31.6,2.585965347,"twins, flowering"
5040,Tri,4,20,PlantW-SoilW-FungNW,W,W,NW,ozzie,0.661972417,0.00733012,90.3085364,NA,6.867149206,15.94879939,0.60288966,NA,7,72.31288492,0.430574681,12/23/25,alive,14.8,3,good,2.33,0.85,7.28,0.364806867,3.489270386,8.564705882,3.124463519,10.46,6.913277717,flowering
5060,Tri,6,27,PlantW-SoilW-FungWsterile,W,W,Wsterile,ozzie,0.429692613,0.007452434,57.65802368,0.770687795,5.559493575,14.54542313,0.733716671,NA,5.8,47.81251468,0.382216009,12/22/25,alive,10.6,3,good,2.86,0.45,15.12,0.157342657,5.444055944,33.6,5.286713287,18.43,2.594276434,
5115,Tri,5,19,PlantW-SoilNW-FungW,W,NW,W,stan,-0.516050391,0.002270497,NA,NA,4.514900761,9.920564012,2.379877195,NA,6.9,70.05965585,0.45510525,12/22/25,alive,11.2,3,good,1.43,0.88,7.16,0.615384615,5.622377622,8.136363636,5.006993007,9.47,7.39806292,seneseed
5228,Tri,5,19,PlantW-SoilW-FungW,W,W,W,albert,0.69666941,0.011768373,59.19844973,0.706594052,8.081899533,24.02469096,0.907158005,NA,7.1,74.60507429,0.336399729,12/23/25,,9.5,3,good,2.63,0.92,6.8,0.349809886,2.935361217,7.391304348,2.585551331,10.35,7.208219738,
5229_blue,Tri,5,22,PlantNW-SoilNW-FungNW,NW,NW,NW,yadi,-0.107330204,0.005375378,NA,NA,1.634005198,5.1500357,0.616247329,NA,6.4,59.37395005,0.317280363,12/22/25,dead_other,7.9,3,good,1.88,0.7,12.09,0.372340426,6.803191489,17.27142857,6.430851064,14.67,4.047304025,peticole pinched
5229_red,Tri,6,1,PlantW-SoilW-FungW,W,W,W,gibson,1.299605434,0.01357672,95.72308138,0.646536209,25.94271591,36.83069376,4.41466459,NA,6.2,55.36836726,0.704377606,12/22/25,alive,12.4,3,good,1.93,1.75,8.26,0.906735751,5.186528497,4.72,4.279792746,11.94,4.637216688,
5267,Tri,6,2,PlantW-SoilNW-FungW,W,NW,W,yadi,-0.172937408,0.002053839,NA,NA,NA,NA,NA,NA,5.1,36.02918078,NA,12/22/25,alive_other,0.8,3,good,0.48,0.57,3.77,1.1875,9.041666667,6.614035088,7.854166667,4.82,7.474933772,"cryovial has handwritten ""5267_b"", seneseed"
5381,Tri,5,10,PlantNW-SoilNW-FungWsterile,NW,NW,Wsterile,stan,3.389357576,0.023390501,144.9031629,0.33927578,38.29944048,83.71312825,1.130545015,NA,7.3,79.30677547,0.457508174,12/24/25,alive,10.6,3,good,2.6,1.32,5.87,0.507692308,2.765384615,4.446969697,2.257692308,9.79,8.100794225,
5436,Tri,3,3,PlantW-SoilW-FungNW,W,W,NW,stan,-0.0077152,0.003248932,NA,0.325537502,2.692703154,5.483816426,0.859858845,0.39451194,5.7,46.01767605,0.491027224,12/23/25,alive,9,3,good,1.31,1.24,8.04,0.946564885,7.083969466,6.483870968,6.13740458,10.59,4.345389618,seneseed
552,Tri,3,14,PlantW-SoilW-FungNW,W,W,NW,yadi,-0.251676301,0.004453622,NA,NA,3.332110981,7.365328089,1.295634671,NA,5.9,49.64487547,0.452404963,12/24/25,alive,2.1,3,good,0.6,1.04,4.81,1.733333333,9.75,4.625,8.016666667,6.45,7.696879917,"droopy, senessed"
5619,Tri,6,5,PlantNW-SoilNW-FungW,NW,NW,W,albert,-0.06131415,0.00214466,NA,NA,2.638384122,6.782475148,0.855111329,NA,6.1,53.42267582,0.38900019,12/23/25,alive,8.1,3,good,1.11,1.51,5,1.36036036,5.864864865,3.311258278,4.504504505,7.62,7.010849845,
5626,Tri,6,6,PlantNW-SoilW-FungNW,NW,W,NW,gibson,-0.22905271,0.002635986,NA,NA,NA,NA,NA,NA,5.9,49.64487547,NA,12/23/25,alive,13.4,6,good,3,0.14,17.84,0.046666667,5.993333333,127.4285714,5.946666667,20.98,2.366295303,twins
5641,Tri,6,4,PlantNW-SoilW-FungW,NW,W,W,yadi,0.171591946,0.004657019,36.84587384,0.779949359,4.267818547,12.01732021,0.60165465,NA,6.2,55.36836726,0.355138955,12/23/25,alive,6.3,3,good,2.03,1.04,7.72,0.512315271,4.315270936,7.423076923,3.802955665,10.79,5.131452016,flowering
5714,Tri,6,8,PlantW-SoilW-FungNWsterile,W,W,NWsterile,yadi,0.142999418,0.003934924,36.34108766,0.760248515,9.010749371,12.88783345,1.684885772,NA,5.3,39.21090925,0.699167118,12/23/25,alive,7.7,3,good,1.86,1.02,9.26,0.548387097,5.52688172,9.078431373,4.978494624,12.14,3.229893678,flowering
