plot,subplot,spp,id,FullExpTrt,PlantGMTrt,ExpSoilSource,ExpFungSource
7,24,Tri,3043,PlantNW-SoilW-FungW,NW,W,W
6,6,Tri,5722,PlantNW-SoilW-FungWsterile,NW,W,Wsterile
6,22,Tri,2276,PlantNW-SoilW-FungWsterile,NW,W,Wsterile
3,7,Tri,4714,PlantW-SoilNW-FungNW,W,NW,NW
3,20,Tri,774,PlantW-SoilNW-FungNW,W,NW,NW
4,9,Tri,827,PlantW-SoilNW-FungNW,W,NW,NW
4,9,Tri,3309,PlantW-SoilNW-FungNW,W,NW,NW
5,2,Tri,6887,PlantW-SoilNW-FungNW,W,NW,NW
5,21,Tri,4576,PlantW-SoilNW-FungNW,W,NW,NW
5,33,Tri,2988,PlantW-SoilNW-FungNW,W,NW,NW
5,33,Tri,3829,PlantW-SoilNW-FungNW,W,NW,NW
6,2,Tri,684,PlantW-SoilNW-FungNW,W,NW,NW
6,2,Tri,1184(5226),PlantW-SoilNW-FungNW,W,NW,NW
6,2,Tri,4777C,PlantW-SoilNW-FungNW,W,NW,NW
6,3,Tri,5742,PlantW-SoilNW-FungNW,W,NW,NW
7,8,Tri,1827,PlantW-SoilNW-FungNW,W,NW,NW
7,8,Tri,3071,PlantW-SoilNW-FungNW,W,NW,NW
7,20,Tri,6894,PlantW-SoilNW-FungNW,W,NW,NW
3,1,Tri,5488,PlantW-SoilNW-FungNWsterile,W,NW,NWsterile
6,2,Tri,762,PlantW-SoilNW-FungNWsterile,W,NW,NWsterile
3,8,Tri,955,PlantW-SoilNW-FungW,W,NW,W
3,27,Tri,1666,PlantW-SoilNW-FungW,W,NW,W
3,27,Tri,4942,PlantW-SoilNW-FungW,W,NW,W
4,7,Tri,4452,PlantW-SoilNW-FungW,W,NW,W
4,8,Tri,2703,PlantW-SoilNW-FungW,W,NW,W
5,9,Tri,86,PlantW-SoilNW-FungW,W,NW,W
5,9,Tri,7147,PlantW-SoilNW-FungW,W,NW,W
5,14,Tri,flag2,PlantW-SoilNW-FungW,W,NW,W
5,19,Tri,2547,PlantW-SoilNW-FungW,W,NW,W
5,19,Tri,5115,PlantW-SoilNW-FungW,W,NW,W
5,21,Tri,3077,PlantW-SoilNW-FungW,W,NW,W
5,31,Tri,2573,PlantW-SoilNW-FungW,W,NW,W
6,2,Tri,4373,PlantW-SoilNW-FungW,W,NW,W
6,2,Tri,5267,PlantW-SoilNW-FungW,W,NW,W
6,2,Tri,4777A,PlantW-SoilNW-FungW,W,NW,W
5,9,Tri,43,PlantW-SoilNW-FungWsterile,W,NW,Wsterile
6,2,Tri,4760,PlantW-SoilNW-FungWsterile,W,NW,Wsterile
3,3,Tri,5436,PlantW-SoilW-FungNW,W,W,NW
3,7,Tri,902,PlantW-SoilW-FungNW,W,W,NW
3,14,Tri,552,PlantW-SoilW-FungNW,W,W,NW
4,3,Tri,9145,PlantW-SoilW-FungNW,W,W,NW
4,13,Tri,989,PlantW-SoilW-FungNW,W,W,NW
4,20,Tri,5040,PlantW-SoilW-FungNW,W,W,NW
5,9,Tri,5904,PlantW-SoilW-FungNW,W,W,NW
5,14,Tri,4177,PlantW-SoilW-FungNW,W,W,NW
5,14,Tri,flag1,PlantW-SoilW-FungNW,W,W,NW
5,21,Tri,3004,PlantW-SoilW-FungNW,W,W,NW
5,27,Tri,5877,PlantW-SoilW-FungNW,W,W,NW
6,2,Tri,5865,PlantW-SoilW-FungNW,W,W,NW
6,9,Tri,5852,PlantW-SoilW-FungNW,W,W,NW
7,8,Tri,1851,PlantW-SoilW-FungNW,W,W,NW
7,14,Tri,2927,PlantW-SoilW-FungNW,W,W,NW
6,2,Tri,4777B,PlantW-SoilW-FungNWsterile,W,W,NWsterile
6,8,Tri,5714,PlantW-SoilW-FungNWsterile,W,W,NWsterile
3,20,Tri,2329,PlantW-SoilW-FungW,W,W,W
3,20,Tri,6885,PlantW-SoilW-FungW,W,W,W
5,13,Tri,4149,PlantW-SoilW-FungW,W,W,W
5,14,Tri,flag3,PlantW-SoilW-FungW,W,W,W
5,19,Tri,5228,PlantW-SoilW-FungW,W,W,W
5,20,Tri,1750,PlantW-SoilW-FungW,W,W,W
5,20,Tri,4000,PlantW-SoilW-FungW,W,W,W
5,31,Tri,4265,PlantW-SoilW-FungW,W,W,W
5,32,Tri,4109,PlantW-SoilW-FungW,W,W,W
6,1,Tri,5229_red,PlantW-SoilW-FungW,W,W,W
6,2,Tri,4712,PlantW-SoilW-FungW,W,W,W
7,8,Tri,632,PlantW-SoilW-FungW,W,W,W
7,14,Tri,2996A1,PlantW-SoilW-FungW,W,W,W
7,14,Tri,2996A2,PlantW-SoilW-FungW,W,W,W
7,14,Tri,2996A3,PlantW-SoilW-FungW,W,W,W
5,33,Tri,4444(2988),PlantW-SoilW-FungWsterile,W,W,Wsterile
6,27,Tri,5060,PlantW-SoilW-FungWsterile,W,W,Wsterile
3,23,Tri,583,PlantNW-SoilNW-FungW,NW,NW,W
4,28,Tri,3031,PlantNW-SoilNW-FungW,NW,NW,W
5,10,Tri,1374,PlantNW-SoilNW-FungW,NW,NW,W
5,16,Tri,2563,PlantNW-SoilNW-FungW,NW,NW,W
5,22,Tri,4990,PlantNW-SoilNW-FungW,NW,NW,W
5,29,Tri,6875,PlantNW-SoilNW-FungW,NW,NW,W
6,5,Tri,3305,PlantNW-SoilNW-FungW,NW,NW,W
6,5,Tri,5619,PlantNW-SoilNW-FungW,NW,NW,W
6,6,Tri,5403,PlantNW-SoilNW-FungW,NW,NW,W
6,11,Tri,2980,PlantNW-SoilNW-FungW,NW,NW,W
6,28,Tri,5031,PlantNW-SoilNW-FungW,NW,NW,W
6,36,Tri,6879,PlantNW-SoilNW-FungW,NW,NW,W
7,11,Tri,1647,PlantNW-SoilNW-FungW,NW,NW,W
7,12,Tri,6507,PlantNW-SoilNW-FungW,NW,NW,W
3,22,Tri,392,PlantNW-SoilNW-FungNW,NW,NW,NW
3,22,Tri,452,PlantNW-SoilNW-FungNW,NW,NW,NW
3,22,Tri,6558,PlantNW-SoilNW-FungNW,NW,NW,NW
4,10,Tri,3708,PlantNW-SoilNW-FungNW,NW,NW,NW
5,22,Tri,482,PlantNW-SoilNW-FungNW,NW,NW,NW
5,22,Tri,5229_blue,PlantNW-SoilNW-FungNW,NW,NW,NW
6,5,Tri,5771,PlantNW-SoilNW-FungNW,NW,NW,NW
6,6,Tri,978,PlantNW-SoilNW-FungNW,NW,NW,NW
6,11,Tri,3371,PlantNW-SoilNW-FungNW,NW,NW,NW
6,11,Tri,4505,PlantNW-SoilNW-FungNW,NW,NW,NW
6,16,Tri,2074,PlantNW-SoilNW-FungNW,NW,NW,NW
6,16,Tri,4511,PlantNW-SoilNW-FungNW,NW,NW,NW
7,11,Tri,1669,PlantNW-SoilNW-FungNW,NW,NW,NW
7,23,Tri,2382,PlantNW-SoilNW-FungNW,NW,NW,NW
5,17,Tri,7120,PlantNW-SoilNW-FungNWsterile,NW,NW,NWsterile
6,11,Tri,3379,PlantNW-SoilNW-FungNWsterile,NW,NW,NWsterile
5,10,Tri,5381,PlantNW-SoilNW-FungWsterile,NW,NW,Wsterile
5,11,Tri,2912,PlantNW-SoilNW-FungWsterile,NW,NW,Wsterile
